id,nome,ano,sinopse,categoria
938,"O Gângster, o Policial e o Diabo",2019,"Depois de sobreviver a um ataque violento, um g...",Suspense
939,O Lobo de Wall Street,2013,"Durante seis meses, Jordan Belfort trabalhou du...",Drama
940,Batman,2022,"Em seu segundo ano de combate ao crime, Batman ...",Suspense
941,Lobos,2024,Dois solucionadores rivais se cruzam quando amb...,Policial
942,007: Sem Tempo para Morrer,2021,Bond deixou o serviço ativo e está desfrutando ...,Suspense
943,Paixão Sem Limites,2010,"Dois jovens, que pertencem a mundos diferentes,...",Drama
944,Fervura Máxima,1992,"Em Hong Kong, Yuen, um inspetor de polícia que ...",Policial
945,Adrenalina,2006,Chev Chelios é um assassino profissional que de...,Policial
946,Paixão de Escritório,2026,Uma comédia romântica apimentada sobre dois vic...,Comédia
947,Snatch: Porcos e Diamantes,2000,Quando o ladrão de joias Franky Quatro-Dedos fa...,Policial
948,Mortal Kombat Legends: A Vingança de Scorpion,2020,Após o massacre cruel de sua família pelo merce...,Fantasia
949,Canário Negro,2024,"Uma agente de elite da CIA, Avery Graves, é cha...",Policial
950,Pânico 7,2026,Quando um novo Ghostface surge na pacata cidade...,Terror
951,O Diabo Veste Prada 2,2026,Miranda Priestly navega por sua carreira em mei...,Drama
952,Backrooms: Um Não-Lugar,2026,"Em 1990, o vendedor de móveis Clark descobre em...",Ficção Científica
953,Jack Reacher: Sem Retorno,2016,Jack Reacher retorna para reafirmar sua ousada ...,Suspense
954,Gato de Botas,2011,"Anos antes de conhecer Shrek e Burro, o adoráve...",Animação
955,O Máskara,1994,"Em Edge City vive Stanley Ipkiss, um cara decen...",Fantasia
956,Sonic 3: O Filme,2024,"Sonic, Knuckles e Tails se reúnem contra um nov...",Ação
957,Davi: Nasce Um Rei,2025,"Em um reino tomado pelo medo e pela opressão, u...",Drama
958,Como Treinar o seu Dragão 2,2014,Cinco anos após convencer os habitantes de seu ...,Fantasia
959,Homem de Ferro 2,2010,Em um mundo ciente da existência do Homem de Fe...,Ação
960,Deadpool,2016,Depois de passar por um experimento desonesto q...,Comédia
961,Kraken,2026,Um biólogo marinho investiga uma fazenda de pei...,Ação
962,Superman: O Filme,1978,"Jor-El, um renomado cientista, prevê a destruiç...",Ficção Científica
963,Sing 2,2021,Buster Moon e seus amigos devem persuadir o rec...,Animação
964,2001: Uma Odisséia no Espaço,1968,"Desde a “Aurora do Homem” (a pré-história), um ...",Ficção Científica
965,Hotel Transilvânia 3: Férias Monstruosas,2018,"Solitário e infeliz, buscando um novo amor na i...",Animação
966,A Perfect Ending,2012,"Este drama íntimo segue Rebecca, uma mulher que...",Drama
967,O Hobbit: A Batalha dos Cinco Exércitos,2014,O dragão Smaug lança sua fúria ardente contra a...,Fantasia
968,Lady Bird - A Hora de Voar,2017,Christine McPherson está no último ano do colég...,Drama
969,Ne Zha,2019,"""Ne Zha"" conta a história de um jovem prodígio,...",Fantasia
970,Procurando Nemo,2003,"Nemo, um jovem peixe-palhaço aventureiro, é ine...",Animação
971,Transformers: A Era da Extinção,2014,Após a batalha entre os Autobots e os Deceptico...,Ficção Científica
972,Memórias de um Assassino,2003,"Província de Gyunggi, 1986. O corpo de uma jove...",Policial
973,Os Suspeitos,1995,Um detetive interroga um dos únicos sobrevivent...,Suspense
974,Harry Potter e o Cálice de Fogo,2005,Em seu 4º ano na Escola de Magia e Bruxaria de ...,Fantasia
975,Anônimo,2021,Quando dois ladrões invadem sua casa no subúrbi...,Suspense
976,Um Lugar Silencioso,2018,"Em uma fazenda dos Estados Unidos, uma família ...",Terror
977,Malèna,2000,"Em 1941, numa pequena vila localizada na Sicíli...",Drama
978,A Revolução dos Bichos,2026,Um movimento pela igualdade é sistematicamente ...,Animação
979,Apocalypto,2006,"Jaguar Paw levava uma vida tranquila, que foi i...",Ação
980,Cinquenta Tons Mais Escuros,2017,Incomodada com os hábitos e atitudes de Christi...,Romance
981,Velozes & Furiosos 10,2023,Dom Toretto enfrenta seu maior desafio até agor...,Ação
982,Tarzan,1999,Um bebê perde os pais na selva. Órfão e sozinho...,Animação
983,Operação Big Hero,2014,O grande robô inflável está sempre a postos par...,Ação
984,Capitão América: Admirável Mundo Novo,2025,Após se encontrar com o recém-eleito presidente...,Ficção Científica
985,Golpe Explosivo,2026,O centro de Londres entra em pânico com a desco...,Ação
986,Missão Resgate: Vingança,2025,Mike viaja ao Nepal para espalhar as cinzas de ...,Suspense
987,Os Pinguins de Madagascar - O Filme,2014,"Os valentes pinguins Capitão, Kowalski, Rico e ...",Comédia
988,Sex and the City: O Filme,2008,Carrie Bradshaw é uma escritora de sucesso obce...,Romance
989,O Som da Morte,2026,Um grupo de estudantes disfuncionais se depara ...,Terror
990,Os Infiltrados,2006,"Billy Costigan, um jovem policial, recebe a mis...",Suspense
991,WiFi Ralph: Quebrando a Internet,2018,"Ralph, o mais famoso vilão dos videogames, e Va...",Animação
992,John Wick - De Volta ao Jogo,2014,John Wick é um lendário assassino de aluguel ap...,Suspense
993,M3GAN 2.0,2025,Uma arma robótica de nível militar conhecida co...,Suspense
994,Sicário: Dia do Soldado,2018,O oficial da CIA Matt Graver (Josh Brolin) volt...,Policial
995,Garota Exemplar,2014,Amy Dunne desaparece no dia do seu aniversário ...,Drama
996,Jujutsu Kaisen 0: O Filme,2021,"Quando Yuta Okkotsu era pequeno, sua amiga Rika...",Fantasia
997,Kill Bill - Todo o Sangue Derramado,2011,"A Noiva, dada como morta após seu ex-chefe e am...",Policial
998,La La Land: Cantando Estações,2016,"O pianista Sebastian conhece a atriz Mia, e os ...",Comédia
999,Persépolis,2007,"Marjane é uma jovem iraniana de oito anos, que ...",Animação
1000,Meu Amigo Totoro,1988,Duas irmãs se mudam para o campo com o pai para...,Fantasia
