id,nome,ano,sinopse,categoria
174,Ne Zha 2: O Renascer da Alma,2025,"Após uma grande catástrofe, as almas de Ne Zha ...",Ação
175,A Princesa e o Plebeu,1953,A Princesa Anne embarca em uma turnê por divers...,Romance
176,Furiosa: Uma Saga Mad Max,2024,"Quando o mundo entra em colapso, a jovem Furios...",Ficção Científica
177,Uma Mente Brilhante,2001,"John Nash é um gênio da matemática que, aos 21 ...",Romance
178,Guerra Mundial Z,2013,Um vírus letal se espalha rapidamente e transfo...,Ficção Científica
179,Ninfomaníaca: Volume 1,2013,"Bastante machucada e largada em um beco, Joe é ...",Drama
180,Maldição da Múmia,2026,A filha de um jornalista desaparece num deserto...,Terror
181,X-Men: Apocalipse,2016,"Apocalipse, o primeiro mutante de todos, conseg...",Fantasia
182,Moana 2,2024,Depois de receber um chamado inesperado de seus...,Comédia
183,O Profissional,1994,Mathilda tem apenas 12 anos de idade mas já con...,Drama
184,Cinema Paradiso,1988,"Um diretor de cinema relembra como, em sua infâ...",Romance
185,Colisão: Acidente ou Homicídio?,2026,"Uma jovem bate o carro em um prédio, matando o ...",Policial
186,A Criada,2016,"Coreia do Sul, anos 1930. Durante a ocupação ja...",Drama
187,Código Alarum,2025,Joe e Lara são agentes secretos que vivem fora ...,Policial
188,A Última Batalha de Ellen Cole,2024,Um empreiteiro quer expulsar uma idosa... sem s...,Ação
189,Retrato de uma Jovem em Chamas,2019,"França, 1760. Marianne é contratada para pintar...",Romance
190,Amores Materialistas,2025,O lucrativo negócio de uma casamenteira se comp...,Romance
191,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",2005,Durante os bombardeios da Segunda Guerra Mundia...,Fantasia
192,A Vida Secreta de Zoe,2014,A trama conta uma história recheada de ação e s...,Drama
193,Primeiro as Damas,2026,Um mulherengo arrogante e carismático vê sua vi...,Comédia
194,A Centopéia Humana 2,2011,"Escrito e dirigido novamente por Six, a sequênc...",Policial
195,Águas Profundas,2022,"Vic e Melinda são um casal que, ao tentar resol...",Suspense
196,Pets: A Vida Secreta dos Bichos 2,2019,Max se vê enganado por Katie no primeiro traile...,Animação
197,Homem-Aranha: Longe de Casa,2019,Peter Parker está em uma viagem de duas semanas...,Ação
198,De Olhos Bem Fechados,1999,"Alice, uma curadora de arte, é casada com o dou...",Suspense
199,Questão de Tempo,2013,"Ao completar 21 anos, Tim descobre que pode via...",Fantasia
200,Sem Identidade,2009,"O jovem Casper é integrante da gang chamada ""La...",Policial
201,Mulan,1998,"Na antiga China, durante a guerra, todos os hom...",Animação
202,Coringa,2019,"Isolado, intimidado e desconsiderado pela socie...",Drama
203,A Hora do Rush 2,2001,Depois que um atentado a bomba na Embaixada dos...,Policial
204,A Noiva Cadáver,2005,As famílias de Victor e Victoria estão arranjan...,Fantasia
205,Peça-me o Que Quiser,2024,"Após a morte de seu pai, Eric Zimmerman viaja p...",Drama
206,Madagascar 3: Os Procurados,2012,"Os amigos Alex, Marty, Melman, Gloria, rei Juli...",Animação
207,Carros 3,2017,Durante mais uma disputa eletrizante nas pistas...,Animação
208,Meu Malvado Favorito 2,2013,Gru mudou radicalmente sua vida e se dedica às ...,Animação
209,Revelações,2025,"Ao investigarem um caso de desaparecimento, um ...",Policial
210,Wildcat,2025,"Ada, uma ex-agente de operações especiais de el...",Suspense
211,Se Esse Amor Desaparecesse Hoje,2025,Uma garota do ensino médio acorda todos os dias...,Romance
212,O Hobbit: A Desolação de Smaug,2013,"Ao lado de um grupo de anões e de Gandalf, Bilb...",Fantasia
213,Hotel Transilvânia,2012,O Hotel Transilvânia é um resort cinco estrelas...,Comédia
214,Lilo & Stitch,2025,"Stitch, um alienígena, chega ao planeta Terra a...",Ficção Científica
215,Homem-Aranha: Sem Volta Para Casa,2021,Peter Parker é desmascarado e não consegue mais...,Ação
216,O Iluminado,1980,"Durante o inverno, um homem é contratado para f...",Terror
217,365 Dias,2020,"Laura, a fim de salvar seu relacionamento, vai ...",Drama
218,Através da Minha Janela,2022,Raquel é louca pelo vizinho Ares há muito tempo...,Romance
219,Perdas e Danos,1992,O político britânico Stephen está em um casamen...,Drama
220,Rainha de Copas,2019,Anne é uma advogada do direito das crianças e d...,Drama
221,Inatividade Paranormal,2013,Malcolm e Kisha se mudam para a casa dos sonhos...,Terror
222,O Pequenino,2006,O anão Calvin mal saiu da prisão e já planeja u...,Policial
223,Colateral,2004,O taxista Max Durocher está trabalhando em uma ...,Policial
